"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"1","2001/2003","Alberta","Both sexes",543.8,68.9,63.2,NA,NA
"2","2001/2003","Alberta","Females",467.9,57.7,50.8,135.1,NA
"3","2001/2003","Alberta","Males",643.7,84.1,78.1,NA,214.5
"4","2001/2003","Brant County Health Unit, Ontario","Both sexes",508.7,72.3,70.3,NA,NA
"5","2001/2003","Brant County Health Unit, Ontario","Females",437.2,63.8,56.4,107.7,NA
"6","2001/2003","Brant County Health Unit, Ontario","Males",612.1,87.1,88.3,NA,186.1
"7","2001/2003","British Columbia","Both sexes",493.1,66.5,60.6,NA,NA
"8","2001/2003","British Columbia","Females",430.1,57.9,51,122.7,NA
"9","2001/2003","British Columbia","Males",575.6,78.5,71.9,NA,166.7
"10","2001/2003","Calgary Zone, Alberta","Both sexes",543.4,65,58.6,NA,NA
"11","2001/2003","Calgary Zone, Alberta","Females",473.3,57.2,47.1,140.1,NA
"12","2001/2003","Calgary Zone, Alberta","Males",635.9,75.7,72.3,NA,222.2
"13","2001/2003","Central East Health Integration Network, Ontario","Both sexes",490.2,62.7,62.5,NA,NA
"14","2001/2003","Central East Health Integration Network, Ontario","Females",433.7,52.2,52.5,117.5,NA
"15","2001/2003","Central East Health Integration Network, Ontario","Males",570.9,77.2,74.7,NA,178.6
"16","2001/2003","Central Health Integration Network, Ontario","Both sexes",474.8,51.3,62,NA,NA
"17","2001/2003","Central Health Integration Network, Ontario","Females",426.6,40,51.3,129.5,NA
"18","2001/2003","Central Health Integration Network, Ontario","Males",548.6,66.7,75.7,NA,162.7
"19","2001/2003","Central Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes",401.3,36.5,83.9,NA,NA
"20","2001/2003","Central Regional Integrated Health Authority, Newfoundland and Labrador","Females",332.5,22.6,71.2,101.5,NA
