"","ï..REF_DATE","GEO","Sex","Selected.sites.of.cancer..ICD.O.3.","Cancer incidence (age-standardized rate per 100,000 population)"
"3","2001/2003","British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",493.1
"10","2001/2003","Central Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",521.3
"20","2001/2003","East Kootenay Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",442.7
"27","2001/2003","Fraser East Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",494.7
"28","2001/2003","Fraser North Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",496
"29","2001/2003","Fraser South Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",491.8
"41","2001/2003","Kootenay-Boundary Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.1
"54","2001/2003","North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",497.3
"56","2001/2003","North Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",569.8
"59","2001/2003","Northeast Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",449.3
"60","2001/2003","Northern Interior Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",522.4
"62","2001/2003","Northwest Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",523.3
"67","2001/2003","Okanagan Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",489.2
"112","2001/2003","Richmond Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",429.2
"116","2001/2003","South Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",515.8
"123","2001/2003","Thompson/Cariboo Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",523.4
"127","2001/2003","Vancouver Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",452
"148","2002/2004","British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",482.5
"155","2002/2004","Central Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",512.1
"166","2002/2004","East Kootenay Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",453.3
"171","2002/2004","Fraser East Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",494.8
"172","2002/2004","Fraser North Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",486.6
"173","2002/2004","Fraser South Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",473.6
"185","2002/2004","Kootenay-Boundary Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",505.7
"197","2002/2004","North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",486.8
"199","2002/2004","North Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",550.5
"200","2002/2004","Northeast Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",439.3
"206","2002/2004","Okanagan Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",485
"243","2002/2004","Richmond Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",431.5
"246","2002/2004","South Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",502.6
"256","2002/2004","Vancouver Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",444
"275","2003/2005","British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",477.4
"290","2003/2005","East Kootenay Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",448.9
"296","2003/2005","Fraser North Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",470.5
"297","2003/2005","Fraser South Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",465.4
"316","2003/2005","North Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",551.8
"318","2003/2005","Northeast Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",464.3
"319","2003/2005","Northern Interior Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",507.6
"324","2003/2005","Okanagan Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",488
"362","2003/2005","Richmond Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",420
"367","2003/2005","South Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",493.9
"377","2003/2005","Vancouver Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",431.7
"404","2004/2006","East Kootenay Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",439.5
