"","ï..REF_DATE","GEO","Sex","Selected.sites.of.cancer..ICD.O.3.","Cancer incidence (age-standardized rate per 100,000 population)"
"2","2001/2003","Brant County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.7
"7","2001/2003","Central East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",490.2
"8","2001/2003","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",474.8
"11","2001/2003","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",394.8
"13","2001/2003","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",499.1
"14","2001/2003","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.2
"15","2001/2003","City of Hamilton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",498
"16","2001/2003","City of Toronto Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",469.1
"18","2001/2003","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",510
"19","2001/2003","Durham Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.4
"21","2001/2003","Eastern Ontario Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",512.9
"24","2001/2003","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",492.2
"25","2001/2003","Erie St. Clair Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",524.8
"30","2001/2003","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",505.8
"31","2001/2003","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",517.7
"32","2001/2003","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",510.6
"33","2001/2003","Halton Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",500.7
