"","ï..REF_DATE","GEO","Sex","Selected.sites.of.cancer..ICD.O.3.","Cancer incidence (age-standardized rate per 100,000 population)"
"72","2001/2003","Peer group A excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",520.9
"74","2001/2003","Peer group B excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",524
"76","2001/2003","Peer group C excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",532.1
"78","2001/2003","Peer group D excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",532.2
"80","2001/2003","Peer group E excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",515.4
"81","2001/2003","Peer group F excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",464.7
"82","2001/2003","Peer group G excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",466.1
"91","2001/2003","Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",547.8
"92","2001/2003","RÃ©gion de l'Abitibi-TÃ©miscamingue, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",580.2
"93","2001/2003","RÃ©gion de l'Estrie, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",539.9
"94","2001/2003","RÃ©gion de l'Outaouais, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",528.3
"95","2001/2003","RÃ©gion de la CÃ´te-Nord, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",592.8
"96","2001/2003","RÃ©gion de la Capitale-Nationale, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",562.1
"97","2001/2003","RÃ©gion de la ChaudiÃ¨re-Appalaches, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",541.4
"98","2001/2003","RÃ©gion de la GaspÃ©sie - ÃŽles-de-la-Madeleine, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",601.4
"99","2001/2003","RÃ©gion de la Mauricie et du Centre-du-QuÃ©bec, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.4
"100","2001/2003","RÃ©gion de la MontÃ©rÃ©gie, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.9
"101","2001/2003","RÃ©gion de LanaudiÃ¨re, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",584
"102","2001/2003","RÃ©gion de Laval, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.7
"103","2001/2003","RÃ©gion de MontrÃ©al, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.9
"104","2001/2003","RÃ©gion des Laurentides, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",579.8
