"","ï..REF_DATE","GEO","Sex","Selected.sites.of.cancer..ICD.O.3.","Cancer incidence (age-standardized rate per 100,000 population)"
"65","2001/2003","Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",576.3
"135","2001/2003","Zone 1 - Western, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",556.4
"137","2001/2003","Zone 2 - Northern, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",571.6
"139","2001/2003","Zone 3 - Eastern, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",578.4
"141","2001/2003","Zone 4 - Central, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",591.1
"204","2002/2004","Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",572.8
"264","2002/2004","Zone 1 - Western, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",563.6
"266","2002/2004","Zone 2 - Northern, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",561.7
"269","2002/2004","Zone 4 - Central, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",580.6
"322","2003/2005","Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",574.4
"384","2003/2005","Zone 1 - Western, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",561.3
"385","2003/2005","Zone 2 - Northern, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",568.9
"434","2004/2006","Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",591.8
"486","2004/2006","Zone 1 - Western, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",596.1
"488","2004/2006","Zone 2 - Northern, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",592
"490","2004/2006","Zone 3 - Eastern, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",607.7
