"","ï..REF_DATE","GEO","Sex","Selected.sites.of.cancer..ICD.O.3.","Cancer incidence (age-standardized rate per 100,000 population)"
"1","2001/2003","Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",543.8
"2","2001/2003","Brant County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.7
"3","2001/2003","British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",493.1
"4","2001/2003","Calgary Zone, Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",543.4
"7","2001/2003","Central East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",490.2
"8","2001/2003","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",474.8
"9","2001/2003","Central Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",401.3
"10","2001/2003","Central Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",521.3
"11","2001/2003","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",394.8
"12","2001/2003","Central Zone, Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",563.9
"13","2001/2003","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",499.1
"14","2001/2003","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.2
"15","2001/2003","City of Hamilton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",498
"16","2001/2003","City of Toronto Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",469.1
"17","2001/2003","Cypress Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",518.2
"18","2001/2003","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",510
"19","2001/2003","Durham Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.4
