"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"1",1,3,1,493.1,66.5,60.6,NA,NA
"2",1,3,2,430.1,57.9,51,122.7,NA
"3",1,3,3,575.6,78.5,71.9,NA,166.7
"4",1,8,1,521.3,75.3,61,NA,NA
"5",1,8,2,476.9,67.1,51.1,140.8,NA
"6",1,8,3,581.6,87,72.3,NA,142.6
"7",1,19,1,442.7,69.8,54.5,NA,NA
"8",1,19,2,400.4,62,39.7,123.4,NA
"9",1,19,3,500.5,81.1,71.1,NA,132.4
"10",1,26,1,494.7,69.9,52.3,NA,NA
"11",1,26,2,417.3,57.1,47.2,120.3,NA
"12",1,26,3,591.6,86.5,58.6,NA,174.9
"13",1,27,1,496,71.2,61.7,NA,NA
"14",1,27,2,434.6,64.1,54.6,124.1,NA
"15",1,27,3,584.7,82.2,71.5,NA,186
"16",1,28,1,491.8,61.6,60.2,NA,NA
"17",1,28,2,423.6,56.9,51.7,114.3,NA
"18",1,28,3,581.1,69,70.6,NA,185.4
"19",1,40,1,538.1,75.7,67.8,NA,NA
"20",1,40,2,477,61.9,54.2,137.9,NA
"21",1,40,3,616.9,93.5,81.2,NA,163.2
"22",1,53,1,497.3,52.2,57,NA,NA
"23",1,53,2,435.2,48.5,42.2,130.6,NA
"24",1,53,3,578.7,56.7,74.4,NA,189.5
"25",1,55,1,569.8,80.2,72.4,NA,NA
"26",1,55,2,479.7,69.7,60.5,126.9,NA
"27",1,55,3,681.1,94.2,86.2,NA,196.1
"28",1,58,1,449.3,76.1,56.7,NA,NA
"29",1,58,2,349.2,54.7,46.3,85.6,NA
"30",1,58,3,569.2,101.5,66.2,NA,168.4
"31",1,59,1,522.4,88.3,62.8,NA,NA
"32",1,59,2,418.9,76.7,44.1,97.3,NA
"33",1,59,3,641.3,107,84.1,NA,201.8
"34",1,61,1,523.3,64.8,74.2,NA,NA
"35",1,61,2,460.5,61.5,61.4,150,NA
"36",1,61,3,602,70.6,85.6,NA,174.6
"37",1,66,1,489.2,72.9,61.2,NA,NA
"38",1,66,2,431.2,62.9,50.8,124.1,NA
"39",1,66,3,559.3,85.8,72.7,NA,151.4
"40",1,99,1,429.2,54,64.7,NA,NA
"41",1,99,2,404.2,45.2,60.5,123,NA
"42",1,99,3,474.4,67.3,70.3,NA,122.1
"43",1,104,1,515.8,59,63.8,NA,NA
"44",1,104,2,456.5,53.7,57.8,132.9,NA
"45",1,104,3,599,67,70.7,NA,179.2
"46",1,111,1,523.4,79.3,66.2,NA,NA
"47",1,111,2,432.7,67.2,54.9,107.3,NA
"48",1,111,3,624.9,94.9,79.6,NA,176.1
