"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"1",1,2,1,508.7,72.3,70.3,NA,NA
"2",1,2,2,437.2,63.8,56.4,107.7,NA
"3",1,2,3,612.1,87.1,88.3,NA,186.1
"4",1,5,1,490.2,62.7,62.5,NA,NA
"5",1,5,2,433.7,52.2,52.5,117.5,NA
"6",1,5,3,570.9,77.2,74.7,NA,178.6
"7",1,6,1,474.8,51.3,62,NA,NA
"8",1,6,2,426.6,40,51.3,129.5,NA
"9",1,6,3,548.6,66.7,75.7,NA,162.7
"10",1,9,1,394.8,40.1,48.5,NA,NA
"11",1,9,2,345,27.9,42.8,101.7,NA
"12",1,9,3,464.3,55.7,55.3,NA,156.5
"13",1,11,1,499.1,74.8,66.3,NA,NA
"14",1,11,2,440.1,60.3,57,135.4,NA
"15",1,11,3,583.6,95.5,78.5,NA,176.8
"16",1,12,1,526.2,72.2,69.3,NA,NA
"17",1,12,2,452.7,55.4,55,127.6,NA
"18",1,12,3,636.9,90.4,88.1,NA,195.3
"19",1,13,1,498,68,65.2,NA,NA
"20",1,13,2,449.6,59.9,52.5,134.4,NA
"21",1,13,3,574,80,80.3,NA,145.6
"22",1,14,1,492.2,69.6,64.7,NA,NA
"23",1,14,2,433.5,55,54.4,137.7,NA
"24",1,14,3,579.4,91,79.4,NA,179
"25",1,15,1,469.1,53,59.8,NA,NA
"26",1,15,2,420.6,39.7,51.2,123.3,NA
"27",1,15,3,545.5,70.9,71.5,NA,159.7
"28",1,17,1,510,78.4,66.1,NA,NA
"29",1,17,2,449.4,63.1,57.5,123,NA
"30",1,17,3,593.9,99.9,76.2,NA,170.6
"31",1,18,1,526.4,68.3,64.1,NA,NA
"32",1,18,2,465.8,60,50.5,126.1,NA
"33",1,18,3,611.1,80.4,80.8,NA,192
"34",1,20,1,512.9,90.2,69.2,NA,NA
"35",1,20,2,443,70.5,64.6,123.6,NA
"36",1,20,3,607.9,116.9,72.5,NA,175.6
"37",1,23,1,492.2,72.8,65,NA,NA
"38",1,23,2,428.2,63.5,55.2,115.5,NA
"39",1,23,3,581.5,85.4,74.9,NA,149.2
"40",1,24,1,524.8,77.5,68,NA,NA
"41",1,24,2,448.5,63.6,54.5,129.2,NA
"42",1,24,3,638.5,96.4,84.9,NA,193.3
"43",1,29,1,505.8,65.2,65.5,NA,NA
"44",1,29,2,435.5,52.9,55.2,127,NA
"45",1,29,3,595.1,81.1,75.7,NA,195.6
"46",1,30,1,517.7,73.6,66.9,NA,NA
"47",1,30,2,444.8,54.7,55.5,127.1,NA
"48",1,30,3,617.9,100.4,80.8,NA,193.2
"49",1,31,1,510.6,79,64.8,NA,NA
"50",1,31,2,444.6,67,56.4,114.4,NA
"51",1,31,3,596.6,95.1,75.8,NA,167.7
"52",1,32,1,500.7,54,64.1,NA,NA
"53",1,32,2,450.5,45.9,49.3,136.2,NA
"54",1,32,3,574.4,66.6,82,NA,182
"55",1,33,1,508.3,67.6,66.8,NA,NA
"56",1,33,2,451.5,57.1,52.6,131.1,NA
"57",1,33,3,592.8,82.8,84.2,NA,166.9
"58",1,34,1,514.4,89.1,60.7,NA,NA
"59",1,34,2,472.7,75.8,55.5,125.2,NA
"60",1,34,3,576.1,107.7,67.1,NA,131.2
"61",1,36,1,570.6,64.7,87.7,NA,NA
"62",1,36,2,527,48.2,68.5,150.7,NA
"63",1,36,3,635.4,84.7,105.6,NA,211.7
"64",1,39,1,514.6,77.7,61.9,NA,NA
"65",1,39,2,465.4,67.6,52.5,144.5,NA
"66",1,39,3,587.5,91.8,73.5,NA,148.8
"67",1,42,1,533.8,82.1,71.8,NA,NA
"68",1,42,2,456.9,70.1,59.5,129.4,NA
"69",1,42,3,647.9,100.1,87.6,NA,183.3
"70",1,43,1,537.7,84.5,66.5,NA,NA
"71",1,43,2,468.8,67,58.4,136,NA
"72",1,43,3,628,107.3,74.8,NA,196.8
"73",1,46,1,537.8,66.5,72.5,NA,NA
