"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"1",1,78,1,547.8,97.3,74.3,NA,NA
"2",1,78,2,477.8,69.8,60.1,134.9,NA
"3",1,78,3,663.1,138.7,92.8,NA,137.4
"4",1,79,1,580.2,120.2,71.4,NA,NA
"5",1,79,2,490,79.8,44.9,128.7,NA
"6",1,79,3,706.7,173.5,106.5,NA,140.4
"7",1,80,1,539.9,90.7,72.4,NA,NA
"8",1,80,2,473.3,67,60,125.4,NA
"9",1,80,3,649.1,124.4,90.3,NA,142.7
"10",1,81,1,528.3,111.3,81.5,NA,NA
"11",1,81,2,464.2,84.4,67.5,123.5,NA
"12",1,81,3,628.7,151.2,99,NA,100.8
"13",1,82,1,592.8,133.5,82,NA,NA
"14",1,82,2,478.2,89,60,131.5,NA
"15",1,82,3,734.6,186.3,105,NA,112.1
"16",1,83,1,562.1,95.1,76,NA,NA
"17",1,83,2,484.3,69,61,139.5,NA
"18",1,83,3,694.6,139.6,96.6,NA,159.8
"19",1,84,1,541.4,90.2,73.8,NA,NA
"20",1,84,2,448.9,55.7,55.7,127.1,NA
"21",1,84,3,681.1,139.8,97.6,NA,144.9
"22",1,85,1,601.4,116,75.7,NA,NA
"23",1,85,2,508.9,63.6,65.7,150,NA
"24",1,85,3,725.2,181.1,89.6,NA,111.5
"25",1,86,1,545.4,97.3,72.5,NA,NA
"26",1,86,2,463.2,64.8,60.6,132.5,NA
"27",1,86,3,681.9,147.3,87.8,NA,166
"28",1,87,1,545.9,92.9,77.9,NA,NA
"29",1,87,2,476,70.2,64.7,134.9,NA
"30",1,87,3,656.3,127.6,92.7,NA,143.2
"31",1,88,1,584,122.3,76.8,NA,NA
"32",1,88,2,491.1,91.6,60.4,129.7,NA
"33",1,88,3,723.9,166.9,95.6,NA,149.9
"34",1,89,1,545.7,93.8,71.8,NA,NA
"35",1,89,2,474.8,68.9,55.3,137.6,NA
"36",1,89,3,661.8,131.6,92.8,NA,146.3
"37",1,90,1,526.9,87.7,69.7,NA,NA
"38",1,90,2,470,63.9,57.6,132.7,NA
"39",1,90,3,629.7,124.4,86.4,NA,120.8
"40",1,91,1,579.8,115.6,80.2,NA,NA
"41",1,91,2,513.6,88.7,64.2,140.5,NA
"42",1,91,3,678.9,152.9,98.9,NA,148.9
