"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"1",1,64,1,576.3,90,83.3,NA,NA
"2",1,64,2,488.8,69.1,67.9,131,NA
"3",1,64,3,698.2,119,103,NA,180.3
"4",1,124,1,556.4,86.2,75.3,NA,NA
"5",1,124,2,456.7,59.2,62.4,116.6,NA
"6",1,124,3,686.2,120.4,91.6,NA,176
"7",1,126,1,571.6,91.9,78,NA,NA
"8",1,126,2,480.2,72.1,62,130.2,NA
"9",1,126,3,692.8,118.8,95.8,NA,192.9
"10",1,128,1,578.4,99.5,85.1,NA,NA
"11",1,128,2,497.9,75.1,64.3,136.4,NA
"12",1,128,3,697.8,133.6,112.1,NA,147.7
"13",1,130,1,591.1,85.6,90.9,NA,NA
"14",1,130,2,508.2,70.6,77,138.1,NA
"15",1,130,3,711.8,109.3,109.8,NA,195.8
"16",2,64,1,572.8,88.2,82.5,NA,NA
"17",2,64,2,483.4,66.3,66.9,129.3,NA
"18",2,64,3,694.6,118.1,102.2,NA,173.5
"19",2,124,1,563.6,81.4,78.1,NA,NA
"20",2,124,2,454.2,58.6,64.3,113.2,NA
"21",2,124,3,703.3,111.6,94.3,NA,178.3
"22",2,126,1,561.7,91.7,78.4,NA,NA
"23",2,126,2,471.9,66.1,63.3,127,NA
"24",2,126,3,675.2,124.6,96.3,NA,176.2
"25",2,128,1,579.9,100.3,86.4,NA,NA
"26",2,128,2,495.9,71.5,63.6,140.6,NA
"27",2,128,3,700.1,139.4,115.5,NA,143.8
"28",2,130,1,580.6,83.9,85.1,NA,NA
"29",2,130,2,500.2,68.9,72.1,134.2,NA
"30",2,130,3,697.4,105.9,103.5,NA,184.6
"31",3,64,1,574.4,88.7,81.3,NA,NA
"32",3,64,2,483.9,68.4,66.5,126.4,NA
"33",3,64,3,696,116.4,100,NA,178.1
"34",3,124,1,561.3,80.5,81.1,NA,NA
"35",3,124,2,442.8,56,67.1,112.2,NA
"36",3,124,3,708.6,111.4,97.5,NA,183.4
"37",3,126,1,568.9,92.4,81.9,NA,NA
"38",3,126,2,486,70.8,69,120.4,NA
"39",3,126,3,673.2,120.3,96.7,NA,188.3
"40",3,128,1,591.1,100.3,83.6,NA,NA
"41",3,128,2,505.3,70.2,60.5,144.7,NA
"42",3,128,3,714.1,140.7,114.1,NA,156.7
"43",3,130,1,576.3,85.5,79.9,NA,NA
"44",3,130,2,498.4,74.7,68.3,128.9,NA
"45",3,130,3,688.1,102.7,95.3,NA,179.2
"46",4,64,1,591.8,89.7,81.3,NA,NA
"47",4,64,2,499.2,71,68.1,132.4,NA
"48",4,64,3,715.7,115.9,97.5,NA,191.9
"49",4,124,1,596.1,84.7,84.3,NA,NA
"50",4,124,2,485,66,74,122.8,NA
"51",4,124,3,734.2,109.4,95.6,NA,209.4
"52",4,126,1,592,94.7,89,NA,NA
"53",4,126,2,502.6,71.1,74.4,123.4,NA
"54",4,126,3,705.1,126.7,107.3,NA,188.9
"55",4,128,1,607.7,99.1,83.6,NA,NA
"56",4,128,2,520.7,72.9,64.2,149.7,NA
"57",4,128,3,731.4,133.7,109.2,NA,171.5
"58",4,130,1,580.3,85.6,73.8,NA,NA
"59",4,130,2,496.9,73.9,63.6,133.3,NA
"60",4,130,3,698.6,104.9,86.4,NA,192.1
"61",5,64,1,597.7,91.1,81.4,NA,NA
"62",5,64,2,508.6,75.4,68.2,131.9,NA
"63",5,64,3,716.4,113.6,98,NA,198.4
"64",5,124,1,583.6,85.9,78.1,NA,NA
"65",5,124,2,487.4,65.5,70.9,124.9,NA
"66",5,124,3,702.2,111.2,86.6,NA,200.4
"67",5,126,1,598.7,97.6,92.2,NA,NA
"68",5,126,2,517.8,83.5,76.6,122.1,NA
"69",5,126,3,704.7,119.7,111.5,NA,194.3
"70",5,128,1,609.7,99.3,85.9,NA,NA
"71",5,128,2,536,80,67.8,140.5,NA
"72",5,128,3,716.1,126.2,109.9,NA,177.4
"73",5,130,1,601.2,87.4,75.5,NA,NA
"74",5,130,2,504.8,76.2,62.4,137.1,NA
"75",5,130,3,733.7,106.1,91.9,NA,210.8
"76",6,64,1,591.7,89.2,81.9,NA,NA
"77",6,64,2,507.3,76.4,67.9,132.1,NA
"78",6,64,3,704.1,107.3,100,NA,193.6
"79",6,124,1,576.3,85.2,78.7,NA,NA
"80",6,124,2,486.4,69.2,67.9,123,NA
"81",6,124,3,684.5,105.1,91.4,NA,195.6
"82",6,126,1,577.6,97.6,83.6,NA,NA
"83",6,126,2,508.9,84.6,68.8,126.9,NA
"84",6,126,3,673.3,117.2,104.2,NA,169.4
"85",6,128,1,601.4,97,91.3,NA,NA
"86",6,128,2,531.4,85.6,74.4,133.4,NA
"87",6,128,3,702.8,113.4,113.9,NA,171.2
"88",6,130,1,603.2,83.7,77.6,NA,NA
"89",6,130,2,505.9,72.3,63.5,139,NA
"90",6,130,3,735.2,101.7,95.5,NA,216.6
"91",7,64,1,570.1,87.1,78.6,NA,NA
"92",7,64,2,494.1,74.9,64.7,128.4,NA
"93",7,64,3,670.9,103.9,96.7,NA,173.4
"94",7,124,1,534,84.4,72.6,NA,NA
"95",7,124,2,442.8,66.6,58.2,112,NA
"96",7,124,3,643.7,105.8,89.7,NA,162.8
"97",7,126,1,546.5,91.3,70.9,NA,NA
"98",7,126,2,482.2,81.7,57.7,124.6,NA
"99",7,126,3,633,104.7,88.6,NA,159.3
"100",7,128,1,584.8,94.1,88.7,NA,NA
"101",7,128,2,524.7,83.2,74.7,131.8,NA
"102",7,128,3,672.2,110.4,108,NA,165.6
"103",7,130,1,596.9,83.3,80.7,NA,NA
"104",7,130,2,515.3,72.7,66.3,138.4,NA
"105",7,130,3,709.2,100,99.5,NA,190.4
"106",8,64,1,563.2,85.6,78.2,NA,NA
"107",8,64,2,496.7,74.6,64.4,132.1,NA
"108",8,64,3,652.9,101,95.5,NA,158
"109",8,124,1,536.8,80.9,76.4,NA,NA
"110",8,124,2,453.2,67.2,61.1,119.3,NA
"111",8,124,3,638.2,98.2,94.2,NA,157.4
"112",8,126,1,540.9,89.6,71.1,NA,NA
"113",8,126,2,489.2,80.7,59.5,127.8,NA
"114",8,126,3,613.9,101.3,85.9,NA,146.4
"115",8,128,1,572.9,88.5,88.7,NA,NA
"116",8,128,2,518.3,77.4,75.2,138.3,NA
"117",8,128,3,652.2,105,107.2,NA,154.1
"118",8,130,1,584.7,85.4,77.1,NA,NA
"119",8,130,2,515.4,75.3,63.2,137.6,NA
"120",8,130,3,682.3,101,95.3,NA,163.9
"121",9,64,1,557.9,84.8,77.1,NA,NA
"122",9,64,2,495.4,73.6,66.3,129.5,NA
"123",9,64,3,641.9,100.2,90.6,NA,154.5
"124",9,124,1,535.8,80.5,77,NA,NA
"125",9,124,2,455.7,65.8,63.2,121.3,NA
"126",9,124,3,635.8,98.7,92.8,NA,152.6
"127",9,126,1,538.9,84,76.2,NA,NA
"128",9,126,2,489.3,77.8,67.5,118.6,NA
"129",9,126,3,606.1,93.2,87.7,NA,144.5
"130",9,128,1,568.5,88.9,83.3,NA,NA
"131",9,128,2,521,72.7,74.6,137.2,NA
"132",9,128,3,633.5,110.4,94.2,NA,143.8
"133",9,130,1,575.7,86.4,74.7,NA,NA
"134",9,130,2,510.1,77.8,63.4,134.1,NA
"135",9,130,3,668.7,100.1,89.9,NA,164.5
"136",10,64,1,563.6,87.1,78.8,NA,NA
"137",10,64,2,506.9,77.9,67.4,130.8,NA
"138",10,64,3,640.2,100.4,93,NA,150.8
