"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"1",1,37,1,580.3,86.7,73,NA,NA
"2",1,37,2,522.1,82.8,58.8,132.4,NA
"3",1,37,3,655.2,93.4,86.9,NA,182
"4",1,45,1,538.2,79.7,71.2,NA,NA
"5",1,45,2,482.6,71.6,58,134.4,NA
"6",1,45,3,624.1,92.1,87.7,NA,165.8
"7",1,60,1,575.5,117.7,87.2,NA,NA
"8",1,60,2,509.7,106.9,77.5,115,NA
"9",1,60,3,664,132.2,94.9,NA,166.5
"10",1,74,1,549.1,76.9,79.2,NA,NA
"11",1,74,2,500.6,70.9,67.6,134.1,NA
"12",1,74,3,621.8,86.6,93.4,NA,167
"13",1,107,1,503.7,60.7,75.8,NA,NA
"14",1,107,2,440.8,47.4,65.7,131,NA
"15",1,107,3,587.1,78.7,87.8,NA,146.7
"16",1,121,1,535,82,66.7,NA,NA
"17",1,121,2,480.4,73.7,52.9,136.2,NA
"18",1,121,3,627.6,95,85.2,NA,167.2
"19",2,37,1,573.5,87.1,74.1,NA,NA
"20",2,37,2,516.4,82.9,56.9,142.3,NA
"21",2,37,3,645.7,93.4,90.1,NA,180.3
"22",2,45,1,536.6,80.2,71.6,NA,NA
"23",2,45,2,481.3,71.3,58.7,134,NA
"24",2,45,3,621.4,93.1,87.4,NA,159
"25",2,60,1,552.9,99.9,87,NA,NA
"26",2,60,2,518,94.7,87.2,126.3,NA
"27",2,60,3,608.2,104.6,86.3,NA,147.2
"28",2,74,1,532.7,76.2,79,NA,NA
"29",2,74,2,493.9,72.5,65,133.1,NA
"30",2,74,3,592.2,82.2,95.7,NA,160.4
"31",2,107,1,502.1,65.1,68.5,NA,NA
"32",2,107,2,421.1,48.5,56.7,127.6,NA
"33",2,107,3,608.3,85.9,83.8,NA,150.7
"34",2,121,1,538.8,82.7,68.9,NA,NA
"35",2,121,2,483.5,72.8,56.4,135.1,NA
"36",2,121,3,631.5,97.8,84.8,NA,157.1
"37",3,37,1,566.1,85.5,71.8,NA,NA
"38",3,37,2,507.9,80.3,52.5,148.6,NA
"39",3,37,3,637.9,91.6,89.8,NA,167.7
"40",3,45,1,527.6,79.6,68.9,NA,NA
"41",3,45,2,477.2,69.9,56,132.1,NA
"42",3,45,3,605.6,93.1,85,NA,146.9
"43",3,60,1,570.3,112,80.7,NA,NA
"44",3,60,2,490.4,70.7,74.8,117.7,NA
"45",3,60,3,675.6,159.2,86.8,NA,144.9
"46",3,74,1,519.3,74.5,74.6,NA,NA
"47",3,74,2,469,68.3,58.5,124.4,NA
"48",3,74,3,592,83.7,94.3,NA,151.9
"49",3,107,1,479.4,64.2,62.7,NA,NA
"50",3,107,2,413.8,48.1,48.1,123,NA
"51",3,107,3,565.2,83.7,80.1,NA,133.7
"52",3,121,1,531.3,82.2,67.1,NA,NA
"53",3,121,2,485.5,73.2,56.4,134.5,NA
"54",3,121,3,610.7,95.8,81.1,NA,144.4
"55",4,37,1,554.3,83.4,68.2,NA,NA
"56",4,37,2,507.5,77.6,53.8,143.8,NA
"57",4,37,3,610.4,90.7,81.4,NA,150.7
"58",4,45,1,527.3,78,69.5,NA,NA
"59",4,45,2,480,68.5,57.1,131.7,NA
"60",4,45,3,601.4,91.7,85.1,NA,143.8
"61",4,60,1,559.2,95.7,67.8,NA,NA
"62",4,60,2,498.6,66.3,60.4,112.7,NA
"63",4,60,3,648.4,129.9,77.3,NA,147.1
"64",4,74,1,517.5,75.7,73.4,NA,NA
"65",4,74,2,468.3,67.4,58.4,120.8,NA
"66",4,74,3,589.7,88.2,91.5,NA,144.1
"67",4,107,1,461.9,64.1,61.1,NA,NA
"68",4,107,2,411.4,49.3,49.7,108.5,NA
"69",4,107,3,530.2,82.4,74.1,NA,117.6
"70",4,121,1,537.8,80.2,70.3,NA,NA
"71",4,121,2,490,71.4,58.4,138.8,NA
"72",4,121,3,619.7,93.6,86.5,NA,148.9
"73",5,37,1,550.3,81.2,72.1,NA,NA
"74",5,37,2,489,70.3,55.6,138.2,NA
"75",5,37,3,620.1,93.4,88,NA,149.4
"76",5,45,1,525.3,76.5,70,NA,NA
"77",5,45,2,474.6,66.5,56.9,130.2,NA
"78",5,45,3,602.2,91,86.2,NA,143.3
"79",5,60,1,552.3,98.6,72.2,NA,NA
"80",5,60,2,463.5,66,68.9,98.1,NA
"81",5,60,3,668.6,136.5,77.2,NA,148.4
"82",5,74,1,531.1,78.1,77.7,NA,NA
"83",5,74,2,475.9,68.2,59.6,117.9,NA
