"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"1",1,62,1,569.5,77.5,129.9,NA,NA
"2",1,62,2,590.2,84,104.4,184.7,NA
"3",1,62,3,594.2,71.8,188,NA,119.5
"4",2,62,1,589.2,89.8,150.4,NA,NA
"5",2,62,2,573.8,102.5,85.5,170.5,NA
"6",2,62,3,666,82,268.2,NA,110.6
"7",3,62,1,571.6,94.2,111.4,NA,NA
"8",3,62,2,524.8,105,76.9,157.6,NA
"9",3,62,3,673.5,87,178.8,NA,165.6
"10",4,62,1,514.2,92.2,93.2,NA,NA
"11",4,62,2,426.1,78.1,73.3,105.7,NA
"12",4,62,3,621.7,108.9,121.7,NA,153
"13",5,62,1,535.8,95.8,91.3,NA,NA
"14",5,62,2,457.6,70.3,82.8,120.8,NA
"15",5,62,3,629,122.7,106.9,NA,178.5
"16",6,62,1,516.7,90.7,109.8,NA,NA
"17",6,62,2,489.4,70.2,114.7,114.7,NA
"18",6,62,3,547.6,110.7,110,NA,153.9
"19",7,62,1,553.4,89.2,123.6,NA,NA
"20",7,62,2,544.8,89.6,139.8,129.4,NA
"21",7,62,3,570.4,88.9,112.4,NA,160
"22",8,62,1,512.1,73.8,106.7,NA,NA
"23",8,62,2,503.1,74.7,127.7,135.2,NA
"24",8,62,3,524.3,71.7,84.9,NA,123.4
"25",9,62,1,527.3,74.9,110.5,NA,NA
"26",9,62,2,485.9,67.5,94.6,140.6,NA
"27",9,62,3,574.2,81,122.3,NA,104.4
"28",10,62,1,529.5,84.9,109.5,NA,NA
"29",10,62,2,509.6,65.4,106.6,136.7,NA
"30",10,62,3,551.6,105.7,107.1,NA,66.5
"31",11,62,1,511.8,84.8,101.4,NA,NA
"32",11,62,2,467,58.9,91.4,124.5,NA
"33",11,62,3,558.1,110.7,111.2,NA,89.8
"34",12,62,1,515.3,86.7,95.4,NA,NA
"35",12,62,2,472.8,62.7,86.9,131.5,NA
"36",12,62,3,565,111.2,106.9,NA,90
"37",13,62,1,487.9,77.5,86.7,NA,NA
"38",13,62,2,455.3,70,73.2,153.1,NA
"39",13,62,3,522.1,85.5,102.6,NA,110
"40",1,123,1,515,78.8,79.2,NA,NA
"41",1,123,2,436.9,50.1,76.9,108.9,NA
"42",1,123,3,629.8,102.7,76.3,NA,172.8
"43",2,123,1,513.4,83.1,78.5,NA,NA
